id,prediction
7571232268,19
5387739108,8
6251458632,16
7028089757,8
8062478838,24
9438315834,24
1849412430,23
6051716312,7
3721933115,23
9167863016,15
8558147580,18
8763148865,3
4711252628,4
7365459625,11
6720425393,10
5727124268,22
6126441645,20
1593264536,17
7857065886,25
8677957397,2
8637362190,1
5340068971,1
2059943564,8
8210863336,1
4905228358,18
1674695848,17
6390357756,13
4257849630,3
2642123678,4
8363903321,0
2750870219,9
1077405927,12
9066635327,5
9000390367,18
4656101158,10
1673846906,19
5637954936,23
3707282696,6
2429246279,13
3705954339,22
5496979379,19
8740691622,21
1152861661,20
7805652812,10
8677608740,13
7949792387,3
5126353753,14
2769773895,5
1930492899,7
2717131942,21
4059796881,24
4130731086,25
1202001823,3
1923372317,17
5596508477,14
6845201577,25
4321198787,2
8451089109,20
7260817658,4
2719617147,6
2788548965,5
5678308149,9
6233396936,2
2917427491,3
1127493407,16
1379694930,14
7217763670,0
8902700848,6
8857105311,17
5175393332,24
1745819705,21
4060729304,23
7492011108,7
5787469158,8
1112028102,14
3821743830,11
1948757808,16
8161281876,8
7648800193,9
2648482505,8
6679898207,20
7485341900,21
2827554916,11
9197978715,13
7535024559,4
6357436695,22
6729372099,5
6064904333,6
2535069543,22
4750404481,1
2175106937,10
1425790421,3
2939423194,11
2698308306,0
1111830184,15
6619506652,25
1168755419,16
8984883521,20
4302038590,11
7310608088,10
6966842691,15
2472607918,6
7013846276,23
5739560004,6
2452464152,0
2170777533,2
6613129944,5
9184011242,23
5828700664,24
8413724562,7
3863939148,16
3412258127,13
8166469410,4
1916408790,16
2707398830,11
9055593891,2
6696183035,9
7113888353,10
6722625596,12
4175061491,18
9450676584,19
3823608521,13
1378746257,23
4493475823,0
5501766863,19
1323188128,17
6009962768,5
8561763623,1
4857999604,18
6253258260,12
1526540464,17
1920002929,14
5954216692,1
1593088675,25
6491991319,21
4697444032,4
6682821779,3
4959850100,14
9071099544,15
4432299675,0
6522395556,2
2378209201,7
2822770293,18
4211963059,12
2436092720,7
9002170996,19
7661143237,21
7689242047,12
